[INIT] First code: 73 = I
[READ] Code: 110 | next_code: 256 | code_size: 9
[READ] Code: 32 | next_code: 257 | code_size: 9
[READ] Code: 97 | next_code: 258 | code_size: 9
[READ] Code: 99 | next_code: 259 | code_size: 9
[READ] Code: 97 | next_code: 260 | code_size: 9
[READ] Code: 100 | next_code: 261 | code_size: 9
[READ] Code: 101 | next_code: 262 | code_size: 9
[READ] Code: 109 | next_code: 263 | code_size: 9
[READ] Code: 105 | next_code: 264 | code_size: 9
[READ] Code: 99 | next_code: 265 | code_size: 9
[READ] Code: 32 | next_code: 266 | code_size: 9
[READ] Code: 119 | next_code: 267 | code_size: 9
[READ] Code: 114 | next_code: 268 | code_size: 9
[READ] Code: 105 | next_code: 269 | code_size: 9
[READ] Code: 116 | next_code: 270 | code_size: 9
[READ] Code: 105 | next_code: 271 | code_size: 9
[READ] Code: 110 | next_code: 272 | code_size: 9
[READ] Code: 103 | next_code: 273 | code_size: 9
[READ] Code: 32 | next_code: 274 | code_size: 9
[READ] Code: 114 | next_code: 275 | code_size: 9
[READ] Code: 101 | next_code: 276 | code_size: 9
[READ] Code: 261 | next_code: 277 | code_size: 9
[READ] Code: 101 | next_code: 278 | code_size: 9
[READ] Code: 114 | next_code: 279 | code_size: 9
[READ] Code: 115 | next_code: 280 | code_size: 9
[READ] Code: 32 | next_code: 281 | code_size: 9
[READ] Code: 101 | next_code: 282 | code_size: 9
[READ] Code: 120 | next_code: 283 | code_size: 9
[READ] Code: 112 | next_code: 284 | code_size: 9
[READ] Code: 101 | next_code: 285 | code_size: 9
[READ] Code: 99 | next_code: 286 | code_size: 9
[READ] Code: 116 | next_code: 287 | code_size: 9
[READ] Code: 282 | next_code: 288 | code_size: 9
[READ] Code: 259 | next_code: 289 | code_size: 9
[READ] Code: 104 | next_code: 290 | code_size: 9
[READ] Code: 32 | next_code: 291 | code_size: 9
[READ] Code: 112 | next_code: 292 | code_size: 9
[READ] Code: 97 | next_code: 293 | code_size: 9
[READ] Code: 114 | next_code: 294 | code_size: 9
[READ] Code: 97 | next_code: 295 | code_size: 9
[READ] Code: 103 | next_code: 296 | code_size: 9
[READ] Code: 295 | next_code: 297 | code_size: 9
[READ] Code: 112 | next_code: 298 | code_size: 9
[READ] Code: 291 | next_code: 299 | code_size: 9
[READ] Code: 116 | next_code: 300 | code_size: 9
[READ] Code: 111 | next_code: 301 | code_size: 9
[READ] Code: 32 | next_code: 302 | code_size: 9
[READ] Code: 104 | next_code: 303 | code_size: 9
[READ] Code: 97 | next_code: 304 | code_size: 9
[READ] Code: 118 | next_code: 305 | code_size: 9
[READ] Code: 101 | next_code: 306 | code_size: 9
[READ] Code: 258 | next_code: 307 | code_size: 9
[READ] Code: 32 | next_code: 308 | code_size: 9
[READ] Code: 115 | next_code: 309 | code_size: 9
[READ] Code: 101 | next_code: 310 | code_size: 9
[READ] Code: 110 | next_code: 311 | code_size: 9
[READ] Code: 116 | next_code: 312 | code_size: 9
[READ] Code: 311 | next_code: 313 | code_size: 9
[READ] Code: 99 | next_code: 314 | code_size: 9
[READ] Code: 307 | next_code: 315 | code_size: 9
[READ] Code: 111 | next_code: 316 | code_size: 9
[READ] Code: 114 | next_code: 317 | code_size: 9
[READ] Code: 32 | next_code: 318 | code_size: 9
[READ] Code: 116 | next_code: 319 | code_size: 9
[READ] Code: 119 | next_code: 320 | code_size: 9
[READ] Code: 302 | next_code: 321 | code_size: 9
[READ] Code: 116 | next_code: 322 | code_size: 9
[READ] Code: 304 | next_code: 323 | code_size: 9
[READ] Code: 288 | next_code: 324 | code_size: 9
[READ] Code: 32 | next_code: 325 | code_size: 9
[READ] Code: 260 | next_code: 326 | code_size: 9
[READ] Code: 112 | next_code: 327 | code_size: 9
[READ] Code: 116 | next_code: 328 | code_size: 9
[READ] Code: 117 | next_code: 329 | code_size: 9
[READ] Code: 276 | next_code: 330 | code_size: 9
[READ] Code: 281 | next_code: 331 | code_size: 9
[READ] Code: 270 | next_code: 332 | code_size: 9
[READ] Code: 281 | next_code: 333 | code_size: 9
[READ] Code: 109 | next_code: 334 | code_size: 9
[READ] Code: 97 | next_code: 335 | code_size: 9
[READ] Code: 272 | next_code: 336 | code_size: 9
[READ] Code: 292 | next_code: 337 | code_size: 9
[READ] Code: 111 | next_code: 338 | code_size: 9
[READ] Code: 272 | next_code: 339 | code_size: 9
[READ] Code: 288 | next_code: 340 | code_size: 9
[READ] Code: 84 | next_code: 341 | code_size: 9
[READ] Code: 104 | next_code: 342 | code_size: 9
[READ] Code: 101 | next_code: 343 | code_size: 9
[READ] Code: 121 | next_code: 344 | code_size: 9
[READ] Code: 226 | next_code: 345 | code_size: 9
[READ] Code: 128 | next_code: 346 | code_size: 9
[READ] Code: 153 | next_code: 347 | code_size: 9
[READ] Code: 276 | next_code: 348 | code_size: 9
[READ] Code: 32 | next_code: 349 | code_size: 9
[READ] Code: 111 | next_code: 350 | code_size: 9
[READ] Code: 102 | next_code: 351 | code_size: 9
